Base position	No. reads	Exon
108305622	0	NaN
108305623	0	NaN
108305624	0	NaN
108305625	0	NaN
108305626	0	NaN
108305627	0	NaN
108305628	0	NaN
108305629	0	NaN
108305630	0	NaN
108305631	0	NaN
108305632	0	NaN
108305633	0	NaN
108305634	0	NaN
108305635	0	NaN
108305636	0	NaN
108305637	0	NaN
108305638	0	NaN
108305639	0	NaN
108305640	0	NaN
108305641	0	NaN
108305642	0	NaN
108305643	0	NaN
108305644	0	NaN
108305645	0	NaN
108305646	0	NaN
108305647	0	NaN
108305648	0	NaN
108305649	0	NaN
108305650	0	NaN
108305651	0	NaN
108305652	0	NaN
108305653	0	NaN
108305654	0	NaN
108305655	0	NaN
108305656	0	NaN
108305657	0	NaN
108305658	0	NaN
108305659	0	NaN
108305660	0	NaN
108305661	0	NaN
108305662	0	NaN
108305663	0	NaN
108305664	0	NaN
108305665	0	NaN
108305666	0	NaN
108305667	0	NaN
108305668	0	NaN
108305669	0	NaN
108305670	0	NaN
108305671	0	NaN
108305672	0	NaN
108305673	0	NaN
108305674	0	NaN
108305675	0	NaN
108305676	0	NaN
108305677	0	NaN
108305678	0	NaN
108305679	0	NaN
108305680	0	NaN
108305681	0	NaN
108305682	0	NaN
108305683	0	NaN
108305684	0	NaN
108305685	0	NaN
108305686	0	NaN
108305687	0	NaN
108305688	0	NaN
108305689	0	NaN
108305690	0	NaN
108305691	0	NaN
108305692	0	NaN
108305693	0	NaN
108305694	0	NaN
108305695	0	NaN
108305696	0	NaN
108305697	0	NaN
108305698	0	NaN
108305699	0	NaN
108305700	0	NaN
108305701	0	NaN
108305702	0	NaN
108305703	0	NaN
108305704	0	NaN
108305705	0	NaN
108305706	0	NaN
108305707	0	NaN
108305708	0	NaN
108305709	0	NaN
108305710	0	NaN
108305711	0	NaN
108305712	0	NaN
108305713	0	NaN
108305714	0	NaN
108305715	0	NaN
108305716	0	NaN
108305717	0	NaN
108305718	0	NaN
108305719	0	NaN
108305720	0	NaN
108305721	0	NaN
108305722	0	NaN
108305723	0	NaN
108305724	0	NaN
108305725	0	NaN
108305726	0	NaN
108305727	0	NaN
108305728	0	NaN
108305729	0	NaN
108305730	0	NaN
108305731	0	NaN
108305732	0	NaN
108305733	0	NaN
108305734	0	NaN
108305735	0	NaN
108305736	0	NaN
108305737	0	NaN
108305738	0	NaN
108305739	0	NaN
108305740	0	NaN
108305741	0	NaN
108305742	0	NaN
108305743	0	NaN
108305744	0	NaN
108305745	0	NaN
108305746	0	NaN
108305747	0	NaN
108305748	0	NaN
108305749	0	NaN
108305750	0	NaN
108305751	0	NaN
108305752	0	NaN
108305753	0	NaN
108305754	0	NaN
108305755	0	NaN
108305756	0	NaN
108305757	0	NaN
108305758	0	NaN
108305759	0	NaN
108305760	0	NaN
108305761	0	NaN
108305762	0	NaN
108305763	0	NaN
108305764	0	NaN
108305765	0	NaN
108305766	0	NaN
108305767	0	NaN
108305768	0	NaN
108305769	0	NaN
108305770	0	NaN
108305771	0	NaN
108305772	0	NaN
108305773	0	NaN
108305774	0	NaN
108305775	0	NaN
108305776	0	NaN
108305777	0	NaN
108305778	0	NaN
108305779	0	NaN
108305780	0	NaN
108305781	0	NaN
108305782	0	NaN
108305783	0	NaN
108305784	0	NaN
108305785	0	NaN
108305786	0	NaN
108305787	0	NaN
108305788	0	NaN
108305789	0	NaN
108305790	0	NaN
108305791	0	NaN
108305792	0	NaN
108305793	0	NaN
108305794	0	NaN
108305795	0	NaN
108305796	0	NaN
108305797	0	NaN
108305798	0	NaN
108305799	0	NaN
108305800	0	NaN
108305801	0	NaN
108305802	0	NaN
108305803	0	NaN
108305804	0	NaN
108305805	0	NaN
108305806	0	NaN
108305807	0	NaN
108305808	0	NaN
108305809	0	NaN
108305810	0	NaN
108305811	0	NaN
108305812	0	NaN
108305813	0	NaN
108305814	0	NaN
108305815	0	NaN
108305816	0	NaN
108305817	0	NaN
108305818	0	NaN
108305819	0	NaN
108305820	0	NaN
108305821	0	NaN
108305822	0	NaN
108305823	0	NaN
108305824	0	NaN
108305825	0	NaN
108305826	0	NaN
108305827	0	NaN
108305828	0	NaN
108305829	0	NaN
108305830	0	NaN
108305831	0	NaN
108305832	0	NaN
108305833	0	NaN
108305834	0	NaN
108305835	0	NaN
108305836	0	NaN
108305837	0	NaN
108305838	0	NaN
108305839	0	NaN
108305840	0	NaN
108305841	0	NaN
108305842	0	NaN
108305843	0	NaN
108305844	0	NaN
108305845	0	NaN
108305846	0	NaN
108305847	0	NaN
108305848	0	NaN
108305849	0	NaN
108305850	0	NaN
108305851	0	NaN
108305852	0	NaN
108305853	0	NaN
108305854	0	NaN
108305855	0	NaN
108305856	0	NaN
108305857	0	NaN
108305858	0	NaN
108305859	0	NaN
108305860	0	NaN
108305861	0	NaN
108305862	0	NaN
108305863	0	NaN
108305864	0	NaN
108305865	0	NaN
108305866	0	NaN
108305867	0	NaN
108305868	0	NaN
108305869	0	NaN
108305870	0	NaN
108305871	0	NaN
108305872	0	NaN
108305873	0	NaN
108305874	0	NaN
108305875	0	NaN
108305876	0	NaN
108305877	0	NaN
108305878	0	NaN
108305879	0	NaN
108305880	0	NaN
108305881	0	NaN
108305882	0	NaN
108305883	0	NaN
108305884	0	NaN
108305885	0	NaN
108305886	0	NaN
108305887	0	NaN
108305888	0	NaN
108305889	0	NaN
108305890	0	NaN
108305891	0	NaN
108305892	0	NaN
108305893	0	NaN
108305894	0	NaN
108305895	0	NaN
108305896	0	NaN
108305897	0	NaN
108305898	0	NaN
108305899	0	NaN
108305900	0	NaN
108305901	0	NaN
108305902	0	NaN
108305903	0	NaN
108305904	0	NaN
108305905	0	NaN
108305906	0	NaN
108305907	0	NaN
108305908	0	NaN
108305909	0	NaN
108305910	0	NaN
108305911	0	NaN
108305912	0	NaN
108305913	0	NaN
108305914	0	NaN
108305915	0	NaN
108305916	0	NaN
108305917	0	NaN
108305918	0	NaN
108305919	0	NaN
108305920	0	NaN
108305921	0	NaN
108305922	0	NaN
108305923	0	NaN
108305924	0	NaN
108305925	0	NaN
108305926	0	NaN
108305927	0	NaN
108305928	0	NaN
108305929	0	NaN
108305930	0	NaN
108305931	0	NaN
108305932	0	NaN
108305933	0	NaN
108305934	0	NaN
108305935	0	NaN
108305936	0	NaN
108305937	0	NaN
108305938	0	NaN
108305939	0	NaN
108305940	0	NaN
108305941	0	NaN
108305942	0	NaN
108305943	0	NaN
108305944	0	NaN
108305945	0	NaN
108305946	0	NaN
108305947	0	NaN
108305948	0	NaN
108305949	0	NaN
108305950	0	NaN
108305951	0	NaN
108305952	0	NaN
108305953	0	NaN
108305954	0	NaN
108305955	0	NaN
108305956	0	NaN
108305957	0	NaN
108305958	0	NaN
108305959	0	NaN
108305960	0	NaN
108305961	0	NaN
108305962	0	NaN
108305963	0	NaN
108305964	0	NaN
108305965	0	NaN
108305966	0	NaN
108305967	0	NaN
108305968	0	NaN
108305969	0	NaN
108305970	0	NaN
108305971	0	NaN
108305972	0	NaN
108305973	0	NaN
108305974	0	NaN
108305975	0	NaN
108305976	0	NaN
108305977	0	NaN
108305978	0	NaN
108305979	0	NaN
108305980	0	NaN
108305981	0	NaN
108305982	0	NaN
108305983	0	NaN
108305984	0	NaN
108305985	0	NaN
108305986	0	NaN
108305987	0	NaN
108305988	0	NaN
108305989	0	NaN
108305990	0	NaN
108305991	0	NaN
108305992	0	NaN
108305993	0	NaN
108305994	0	NaN
108305995	0	NaN
108305996	0	NaN
108305997	0	NaN
108305998	0	NaN
108305999	0	NaN
108306000	0	NaN
108306001	0	NaN
108306002	0	NaN
108306003	0	NaN
108306004	0	NaN
108306005	0	NaN
108306006	0	NaN
108306007	0	NaN
108306008	0	NaN
108306009	0	NaN
108306010	0	NaN
108306011	0	NaN
108306012	0	NaN
108306013	0	NaN
108306014	0	NaN
108306015	0	NaN
108306016	0	NaN
108306017	0	NaN
108306018	0	NaN
108306019	0	NaN
108306020	0	NaN
108306021	0	NaN
108306022	0	NaN
108306023	0	NaN
108306024	0	NaN
108306025	0	NaN
108306026	0	NaN
108306027	0	NaN
108306028	0	NaN
108306029	0	NaN
108306030	0	NaN
108306031	0	NaN
108306032	0	NaN
108306033	0	NaN
108306034	0	NaN
108306035	0	NaN
108306036	0	NaN
108306037	0	NaN
108306038	0	NaN
108306039	0	NaN
108306040	0	NaN
108306041	0	NaN
108306042	0	NaN
108306043	0	NaN
108306044	0	NaN
108306045	0	NaN
108306046	0	NaN
108306047	0	NaN
108306048	0	NaN
108306049	0	NaN
108306050	0	NaN
108306051	0	NaN
108306052	0	NaN
108306053	0	NaN
108306054	0	NaN
108306055	0	NaN
108306056	0	NaN
108306057	0	NaN
108306058	0	NaN
108306059	0	NaN
108306060	0	NaN
108306061	0	NaN
108306062	0	NaN
108306063	0	NaN
108306064	0	NaN
108306065	0	NaN
108306066	0	NaN
108306067	0	NaN
108306068	0	NaN
108306069	0	NaN
108306070	0	NaN
108306071	0	NaN
108306072	0	NaN
108306073	0	NaN
108306074	0	NaN
108306075	0	NaN
108306076	0	NaN
108306077	0	NaN
108306078	0	NaN
108306079	0	NaN
108306080	0	NaN
108306081	0	NaN
108306082	0	NaN
108306083	0	NaN
108306084	0	NaN
108306085	0	NaN
108306086	0	NaN
108306087	0	NaN
108306088	0	NaN
108306089	0	NaN
108306090	0	NaN
108306091	0	NaN
108306092	0	NaN
108306093	0	NaN
108306094	0	NaN
108306095	0	NaN
108306096	0	NaN
108306097	0	NaN
108306098	0	NaN
108306099	0	NaN
108306100	0	NaN
108306101	0	NaN
108306102	0	NaN
108306103	0	NaN
108306104	0	NaN
108306105	0	NaN
108306106	0	NaN
108306107	0	NaN
108306108	0	NaN
108306109	0	NaN
108306110	0	NaN
108306111	0	NaN
108306112	0	NaN
108306113	0	NaN
108306114	0	NaN
108306115	0	NaN
108306116	0	NaN
108306117	0	NaN
108306118	0	NaN
108306119	0	NaN
108306120	0	NaN
108306121	0	NaN
108306122	0	NaN
108306123	0	NaN
108306124	0	NaN
108306125	0	NaN
108306126	0	NaN
108306127	0	NaN
108306128	0	NaN
108306129	0	NaN
108306130	0	NaN
108306131	0	NaN
108306132	0	NaN
108306133	0	NaN
108306134	0	NaN
108306135	0	NaN
108306136	0	NaN
108306137	0	NaN
108306138	0	NaN
108306139	0	NaN
108306140	0	NaN
108306141	0	NaN
108306142	0	NaN
108306143	0	NaN
108306144	0	NaN
108306145	0	NaN
108306146	0	NaN
108306147	0	NaN
108306148	0	NaN
108306149	0	NaN
108306150	0	NaN
108306151	0	NaN
108306152	0	NaN
108306153	0	NaN
108306154	0	NaN
108306155	0	NaN
108306156	0	NaN
108306157	0	NaN
108306158	0	NaN
108306159	0	NaN
108306160	0	NaN
108306161	0	NaN
108306162	0	NaN
108306163	0	NaN
108306164	0	NaN
108306165	0	NaN
108306166	0	NaN
108306167	0	NaN
108306168	0	NaN
108306169	0	NaN
108306170	0	NaN
108306171	0	NaN
108306172	0	NaN
108306173	0	NaN
108306174	0	NaN
108306175	0	NaN
108306176	0	NaN
108306177	0	NaN
108306178	0	NaN
108306179	0	NaN
108306180	0	NaN
108306181	0	NaN
108306182	0	NaN
108306183	0	NaN
108306184	0	NaN
108306185	0	NaN
108306186	0	NaN
108306187	0	NaN
108306188	0	NaN
108306189	0	NaN
108306190	0	NaN
108306191	0	NaN
108306192	0	NaN
108306193	0	NaN
108306194	0	NaN
108306195	0	NaN
108306196	0	NaN
108306197	0	NaN
108306198	0	NaN
108306199	0	NaN
108306200	0	NaN
108306201	0	NaN
108306202	0	NaN
108306203	0	NaN
108306204	0	NaN
108306205	0	NaN
108306206	0	NaN
108306207	0	NaN
108306208	0	NaN
108306209	0	NaN
108306210	0	NaN
108306211	0	NaN
108306212	0	NaN
108306213	0	NaN
108306214	0	NaN
108306215	0	NaN
108306216	0	NaN
108306217	0	NaN
108306218	0	NaN
108306219	0	NaN
108306220	0	NaN
108306221	0	NaN
108306222	0	NaN
108306223	0	NaN
108306224	0	NaN
108306225	0	NaN
108306226	0	NaN
108306227	0	NaN
108306228	0	NaN
108306229	0	NaN
108306230	0	NaN
108306231	0	NaN
108306232	0	NaN
108306233	0	NaN
108306234	0	NaN
108306235	0	NaN
108306236	0	NaN
108306237	0	NaN
108306238	0	NaN
108306239	0	NaN
108306240	0	NaN
108306241	0	NaN
108306242	0	NaN
108306243	0	NaN
108306244	0	NaN
108306245	0	NaN
108306246	0	NaN
108306247	0	NaN
108306248	0	NaN
108306249	0	NaN
108306250	0	NaN
108306251	0	NaN
108306252	0	NaN
108306253	0	NaN
108306254	0	NaN
108306255	0	NaN
108306256	0	NaN
108306257	0	NaN
108306258	0	NaN
108306259	0	NaN
108306260	0	NaN
108306261	0	NaN
108306262	0	NaN
108306263	0	NaN
108306264	0	NaN
108306265	0	NaN
108306266	0	NaN
108306267	0	NaN
108306268	0	NaN
108306269	0	NaN
108306270	0	NaN
108306271	0	NaN
108306272	0	NaN
108306273	0	NaN
108306274	0	NaN
108306275	0	NaN
108306276	0	NaN
108306277	0	NaN
108306278	0	NaN
108306279	0	NaN
108306280	0	NaN
108306281	0	NaN
108306282	0	NaN
108306283	0	NaN
108306284	0	NaN
108306285	0	NaN
108306286	0	NaN
108306287	0	NaN
108306288	0	NaN
108306289	0	NaN
108306290	0	NaN
108306291	0	NaN
108306292	0	NaN
108306293	0	NaN
108306294	0	NaN
108306295	0	NaN
108306296	0	NaN
108306297	0	NaN
108306298	0	NaN
108306299	0	NaN
108306300	0	NaN
108306301	0	NaN
108306302	0	NaN
108306303	0	NaN
108306304	0	NaN
108306305	0	NaN
108306306	0	NaN
108306307	0	NaN
108306308	0	NaN
108306309	0	NaN
108306310	0	NaN
108306311	0	NaN
108306312	0	NaN
108306313	0	NaN
108306314	0	NaN
108306315	0	NaN
108306316	0	NaN
108306317	0	NaN
108306318	0	NaN
108306319	0	NaN
108306320	0	NaN
108306321	0	NaN
108306322	0	NaN
108306323	0	NaN
108306324	0	NaN
108306325	0	NaN
108306326	0	NaN
108306327	0	NaN
108306328	0	NaN
108306329	0	NaN
108306330	0	NaN
108306331	0	NaN
108306332	0	NaN
108306333	0	NaN
108306334	0	NaN
108306335	0	NaN
108306336	0	NaN
108306337	0	NaN
108306338	0	NaN
108306339	0	NaN
108306340	0	NaN
108306341	0	NaN
108306342	0	NaN
108306343	0	NaN
108306344	0	NaN
108306345	0	NaN
108306346	0	NaN
108306347	0	NaN
108306348	0	NaN
108306349	0	NaN
108306350	0	NaN
108306351	0	NaN
108306352	0	NaN
108306353	0	NaN
108306354	0	NaN
108306355	0	NaN
108306356	0	NaN
108306357	0	NaN
108306358	0	NaN
108306359	0	NaN
108306360	0	NaN
108306361	0	NaN
108306362	0	NaN
108306363	0	NaN
108306364	0	NaN
108306365	0	NaN
108306366	0	NaN
108306367	0	NaN
108306368	0	NaN
108306369	0	NaN
108306370	0	NaN
108306371	0	NaN
108306372	0	NaN
108306373	0	NaN
108306374	0	NaN
108306375	0	NaN
108306376	0	NaN
108306377	0	NaN
108306378	0	NaN
108306379	0	NaN
108306380	0	NaN
108306381	0	NaN
108306382	0	NaN
108306383	0	NaN
108306384	0	NaN
108306385	0	NaN
108306386	0	NaN
108306387	0	NaN
108306388	0	NaN
108306389	0	NaN
108306390	0	NaN
108306391	0	NaN
108306392	0	NaN
108306393	0	NaN
108306394	0	NaN
108306395	0	NaN
108306396	0	NaN
108306397	0	NaN
108306398	0	NaN
108306399	0	NaN
108306400	0	NaN
108306401	0	NaN
108306402	0	NaN
108306403	0	NaN
108306404	0	NaN
108306405	0	NaN
108306406	0	NaN
108306407	0	NaN
108306408	0	NaN
108306409	0	NaN
108306410	0	NaN
108306411	0	NaN
108306412	0	NaN
108306413	0	NaN
108306414	0	NaN
108306415	0	NaN
108306416	0	NaN
108306417	0	NaN
108306418	0	NaN
108306419	0	NaN
108306420	0	NaN
108306421	0	NaN
108306422	0	NaN
108306423	0	NaN
108306424	0	NaN
108306425	0	NaN
108306426	0	NaN
108306427	0	NaN
108306428	0	NaN
108306429	0	NaN
108306430	0	NaN
108306431	0	NaN
108306432	0	NaN
108306433	0	NaN
108306434	0	NaN
108306435	0	NaN
108306436	0	NaN
108306437	0	NaN
108306438	0	NaN
108306439	0	NaN
108306440	0	NaN
108306441	0	NaN
108306442	0	NaN
108306443	0	NaN
108306444	0	NaN
108306445	0	NaN
108306446	0	NaN
108306447	0	NaN
108306448	0	NaN
108306449	0	NaN
108306450	0	NaN
108306451	0	NaN
108306452	0	NaN
108306453	0	NaN
108306454	0	NaN
108306455	0	NaN
108306456	0	NaN
108306457	0	NaN
108306458	0	NaN
108306459	0	NaN
108306460	0	NaN
108306461	0	NaN
108306462	0	NaN
108306463	0	NaN
108306464	0	NaN
108306465	0	NaN
108306466	0	NaN
108306467	0	NaN
108306468	0	NaN
108306469	0	NaN
108306470	0	NaN
108306471	0	NaN
108306472	0	NaN
108306473	0	NaN
108306474	0	NaN
108306475	0	NaN
108306476	0	NaN
108306477	0	NaN
108306478	0	NaN
108306479	0	NaN
108306480	0	NaN
108306481	0	NaN
108306482	0	NaN
108306483	0	NaN
108306484	0	NaN
108306485	0	NaN
108306486	0	NaN
108306487	0	NaN
108306488	0	NaN
108306489	0	NaN
108306490	0	NaN
108306491	0	NaN
108306492	0	NaN
108306493	0	NaN
108306494	0	NaN
108306495	0	NaN
108306496	0	NaN
108306497	0	NaN
108306498	0	NaN
108306499	0	NaN
108306500	0	NaN
108306501	0	NaN
108306502	0	NaN
108306503	0	NaN
108306504	0	NaN
108306505	0	NaN
108306506	0	NaN
108306507	0	NaN
108306508	0	NaN
108306509	0	NaN
108306510	0	NaN
108306511	0	NaN
108306512	0	NaN
108306513	0	NaN
108306514	0	NaN
108306515	0	NaN
108306516	0	NaN
108306517	0	NaN
108306518	0	NaN
108306519	0	NaN
108306520	0	NaN
108306521	0	NaN
108306522	0	NaN
108306523	0	NaN
108306524	0	NaN
108306525	0	NaN
108306526	0	NaN
108306527	0	NaN
108306528	0	NaN
108306529	0	NaN
108306530	0	NaN
108306531	0	NaN
108306532	0	NaN
108306533	0	NaN
108306534	0	NaN
108306535	0	NaN
108306536	0	NaN
108306537	0	NaN
108306538	0	NaN
108306539	0	NaN
108306540	0	NaN
108306541	0	NaN
108306542	0	NaN
108306543	0	NaN
108306544	0	NaN
108306545	0	NaN
108306546	0	NaN
108306547	0	NaN
108306548	0	NaN
108306549	0	NaN
108306550	0	NaN
108306551	0	NaN
108306552	0	NaN
108306553	0	NaN
108306554	0	NaN
108306555	0	NaN
108306556	0	NaN
108306557	0	NaN
108306558	0	NaN
108306559	0	NaN
108306560	0	NaN
108306561	0	NaN
108306562	0	NaN
108306563	0	NaN
108306564	0	NaN
108306565	0	NaN
108306566	0	NaN
108306567	0	NaN
108306568	0	NaN
108306569	0	NaN
108306570	0	NaN
108306571	0	NaN
108306572	0	NaN
108306573	0	NaN
108306574	0	NaN
108306575	0	NaN
108306576	0	NaN
108306577	0	NaN
108306578	0	NaN
108306579	0	NaN
108306580	0	NaN
108306581	0	NaN
108306582	0	NaN
108306583	0	NaN
108306584	0	NaN
108306585	0	NaN
108306586	0	NaN
108306587	0	NaN
108306588	0	NaN
108306589	0	NaN
108306590	0	NaN
108306591	0	NaN
108306592	0	NaN
108306593	0	NaN
108306594	0	NaN
108306595	0	NaN
108306596	0	NaN
108306597	0	NaN
108306598	0	NaN
108306599	0	NaN
108306600	0	NaN
108306601	0	NaN
108306602	0	NaN
108306603	0	NaN
108306604	0	NaN
108306605	0	NaN
108306606	0	NaN
108306607	0	NaN
108306608	0	NaN
108306609	0	NaN
108306610	0	NaN
108306611	0	NaN
108306612	0	NaN
108306613	0	NaN
108306614	0	NaN
108306615	0	NaN
108306616	0	NaN
108306617	0	NaN
108306618	0	NaN
108306619	0	NaN
108306620	0	NaN
108306621	0	NaN
108306622	0	NaN
108306623	0	NaN
108306624	0	NaN
108306625	0	NaN
108306626	0	NaN
108306627	0	NaN
108306628	0	NaN
108306629	0	NaN
108306630	0	NaN
108306631	0	NaN
108306632	0	NaN
108306633	0	NaN
108306634	0	NaN
108306635	0	NaN
108306636	0	NaN
108306637	0	NaN
108306638	0	NaN
108306639	0	NaN
108306640	0	NaN
108306641	0	NaN
108306642	0	NaN
108306643	0	NaN
108306644	0	NaN
108306645	0	NaN
108306646	0	NaN
108306647	0	NaN
108306648	0	NaN
108306649	0	NaN
108306650	0	NaN
108306651	0	NaN
108306652	0	NaN
108306653	0	NaN
108306654	0	NaN
108306655	0	NaN
108306656	0	NaN
108306657	0	NaN
108306658	0	NaN
108306659	0	NaN
108306660	0	NaN
108306661	0	NaN
108306662	0	NaN
108306663	0	NaN
108306664	0	NaN
108306665	0	NaN
108306666	0	NaN
108306667	0	NaN
108306668	0	NaN
108306669	0	NaN
108306670	0	NaN
108306671	0	NaN
108306672	0	NaN
108306673	0	NaN
108306674	0	NaN
108306675	0	NaN
108306676	0	NaN
108306677	0	NaN
108306678	0	NaN
108306679	0	NaN
108306680	0	NaN
108306681	0	NaN
108306682	0	NaN
108306683	0	NaN
108306684	0	NaN
108306685	0	NaN
108306686	0	NaN
108306687	0	NaN
108306688	0	NaN
108306689	0	NaN
108306690	0	NaN
108306691	0	NaN
108306692	0	NaN
108306693	0	NaN
108306694	0	NaN
108306695	0	NaN
108306696	0	NaN
108306697	0	NaN
108306698	0	NaN
108306699	0	NaN
108306700	0	NaN
108306701	0	NaN
108306702	0	NaN
108306703	0	NaN
108306704	0	NaN
108306705	0	NaN
108306706	0	NaN
108306707	0	NaN
108306708	0	NaN
108306709	0	NaN
108306710	0	NaN
108306711	0	NaN
108306712	0	NaN
108306713	0	NaN
108306714	0	NaN
108306715	0	NaN
108306716	0	NaN
108306717	0	NaN
108306718	0	NaN
108306719	0	NaN
108306720	0	NaN
108306721	0	NaN
108306722	0	NaN
108306723	0	NaN
108306724	0	NaN
108306725	0	NaN
108306726	0	NaN
108306727	0	NaN
108306728	0	NaN
108306729	0	NaN
108306730	0	NaN
108306731	0	NaN
108306732	0	NaN
108306733	0	NaN
108306734	0	NaN
108306735	0	NaN
108306736	0	NaN
108306737	0	NaN
108306738	0	NaN
108306739	0	NaN
108306740	0	NaN
108306741	0	NaN
108306742	0	NaN
108306743	0	NaN
108306744	0	NaN
108306745	0	NaN
108306746	0	NaN
108306747	0	NaN
108306748	0	NaN
108306749	0	NaN
108306750	0	NaN
108306751	0	NaN
108306752	0	NaN
108306753	0	NaN
108306754	0	NaN
108306755	0	NaN
108306756	0	NaN
108306757	0	NaN
108306758	0	NaN
108306759	0	NaN
108306760	0	NaN
108306761	0	NaN
108306762	0	NaN
108306763	0	NaN
108306764	0	NaN
108306765	0	NaN
108306766	0	NaN
108306767	0	NaN
108306768	0	NaN
108306769	0	NaN
108306770	0	NaN
108306771	0	NaN
108306772	0	NaN
108306773	0	NaN
108306774	0	NaN
108306775	0	NaN
108306776	0	NaN
108306777	0	NaN
108306778	0	NaN
108306779	0	NaN
108306780	0	NaN
108306781	0	NaN
108306782	0	NaN
108306783	0	NaN
108306784	0	NaN
108306785	0	NaN
108306786	0	NaN
108306787	0	NaN
108306788	0	NaN
108306789	0	NaN
108306790	0	NaN
108306791	0	NaN
108306792	0	NaN
108306793	0	NaN
108306794	0	NaN
108306795	0	NaN
108306796	0	NaN
108306797	0	NaN
108306798	0	NaN
108306799	0	NaN
108306800	0	NaN
108306801	0	NaN
108306802	0	NaN
108306803	0	NaN
108306804	0	NaN
108306805	0	NaN
108306806	0	NaN
108306807	0	NaN
108306808	0	NaN
108306809	0	NaN
108306810	0	NaN
108306811	0	NaN
108306812	0	NaN
108306813	0	NaN
108306814	0	NaN
108306815	0	NaN
108306816	0	NaN
108306817	0	NaN
108306818	0	NaN
108306819	0	NaN
108306820	0	NaN
108306821	0	NaN
108306822	0	NaN
108306823	0	NaN
108306824	0	NaN
108306825	0	NaN
108306826	0	NaN
108306827	0	NaN
108306828	0	NaN
108306829	0	NaN
108306830	0	NaN
108306831	0	NaN
108306832	0	NaN
108306833	0	NaN
108306834	0	NaN
108306835	0	NaN
108306836	0	NaN
108306837	0	NaN
108306838	0	NaN
108306839	0	NaN
108306840	0	NaN
108306841	0	NaN
108306842	0	NaN
108306843	0	NaN
108306844	0	NaN
108306845	0	NaN
108306846	0	NaN
108306847	0	NaN
108306848	0	NaN
108306849	0	NaN
108306850	0	NaN
108306851	0	NaN
108306852	0	NaN
108306853	0	NaN
108306854	0	NaN
108306855	0	NaN
108306856	0	NaN
108306857	0	NaN
108306858	0	NaN
108306859	0	NaN
108306860	0	NaN
108306861	0	NaN
108306862	0	NaN
108306863	0	NaN
108306864	0	NaN
108306865	0	NaN
108306866	0	NaN
108306867	0	NaN
108306868	0	NaN
108306869	0	NaN
108306870	0	NaN
108306871	0	NaN
108306872	0	NaN
108306873	0	NaN
108306874	0	NaN
108306875	0	NaN
108306876	0	NaN
108306877	0	NaN
108306878	0	NaN
108306879	0	NaN
108306880	0	NaN
108306881	0	NaN
108306882	0	NaN
108306883	0	NaN
108306884	0	NaN
108306885	0	NaN
108306886	0	NaN
108306887	0	NaN
108306888	0	NaN
108306889	0	NaN
108306890	0	NaN
108306891	0	NaN
108306892	0	NaN
108306893	0	NaN
108306894	0	NaN
108306895	0	NaN
108306896	0	NaN
108306897	0	NaN
108306898	0	NaN
108306899	0	NaN
108306900	0	NaN
108306901	0	NaN
108306902	0	NaN
108306903	0	NaN
108306904	0	NaN
108306905	0	NaN
108306906	0	NaN
108306907	0	NaN
108306908	0	NaN
108306909	0	NaN
108306910	0	NaN
108306911	0	NaN
108306912	0	NaN
108306913	0	NaN
108306914	0	NaN
108306915	0	NaN
108306916	0	NaN
108306917	0	NaN
108306918	0	NaN
108306919	0	NaN
108306920	0	NaN
108306921	0	NaN
108306922	0	NaN
108306923	0	NaN
108306924	0	NaN
108306925	0	NaN
108306926	0	NaN
108306927	0	NaN
108306928	0	NaN
108306929	0	NaN
108306930	0	NaN
108306931	0	NaN
108306932	0	NaN
108306933	0	NaN
108306934	0	NaN
108306935	0	NaN
108306936	0	NaN
108306937	0	NaN
108306938	0	NaN
108306939	0	NaN
108306940	0	NaN
108306941	0	NaN
108306942	0	NaN
108306943	0	NaN
108306944	0	NaN
108306945	0	NaN
108306946	0	NaN
108306947	0	NaN
108306948	0	NaN
108306949	0	NaN
108306950	0	NaN
108306951	0	NaN
108306952	0	NaN
108306953	0	NaN
108306954	0	NaN
108306955	0	NaN
108306956	0	NaN
108306957	0	NaN
108306958	0	NaN
108306959	0	NaN
108306960	0	NaN
108306961	0	NaN
108306962	0	NaN
108306963	0	NaN
108306964	0	NaN
108306965	0	NaN
108306966	0	NaN
108306967	0	NaN
108306968	0	NaN
108306969	0	NaN
108306970	0	NaN
108306971	0	NaN
108306972	0	NaN
108306973	0	NaN
108306974	0	NaN
108306975	0	NaN
108306976	0	NaN
108306977	0	NaN
108306978	0	NaN
108306979	0	NaN
108306980	0	NaN
108306981	0	NaN
108306982	0	NaN
108306983	0	NaN
108306984	0	NaN
108306985	0	NaN
108306986	0	NaN
108306987	0	NaN
108306988	0	NaN
108306989	0	NaN
108306990	0	NaN
108306991	0	NaN
108306992	0	NaN
108306993	0	NaN
108306994	0	NaN
108306995	0	NaN
108306996	0	NaN
108306997	0	NaN
108306998	0	NaN
108306999	0	NaN
108307000	0	NaN
108307001	0	NaN
108307002	0	NaN
108307003	0	NaN
108307004	0	NaN
108307005	0	NaN
108307006	0	NaN
108307007	0	NaN
108307008	0	NaN
108307009	0	NaN
108307010	0	NaN
108307011	0	NaN
108307012	0	NaN
108307013	0	NaN
108307014	0	NaN
108307015	0	NaN
108307016	0	NaN
108307017	0	NaN
108307018	0	NaN
108307019	0	NaN
